ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1882/5/3,22.1,8,1
1882/5/4,21.2,8,1
1882/5/5,25.0,8,1
1882/5/6,20.4,8,1
1882/5/7,20.6,8,1
1882/5/8,20.6,8,1
1882/5/9,17.3,8,1
1882/5/10,18.8,8,1
1882/5/11,22.9,8,1
1882/5/12,21.7,8,1
1882/5/13,18.6,8,1
1882/5/14,17.8,8,1
1882/5/15,24.2,8,1
1882/5/16,24.6,8,1
1882/5/17,24.7,8,1
1882/5/18,20.4,8,1
1882/5/19,20.4,8,1
1882/5/20,26.9,8,1
1882/5/21,24.9,8,1
1882/5/22,24.3,8,1
1882/5/23,22.6,8,1
1882/5/24,25.3,8,1
1882/5/25,25.8,8,1
1882/5/26,19.8,8,1
1882/5/27,24.3,8,1
1882/5/28,19.4,8,1
1882/5/29,17.7,8,1
1882/5/30,21.2,8,1
1882/5/31,22.0,8,1
1882/6/1,24.2,8,1
1882/6/2,26.7,8,1
1882/6/3,25.0,8,1
1882/6/4,24.4,8,1
1882/6/5,23.9,8,1
1882/6/6,21.8,8,1
1882/6/7,26.7,8,1
1882/6/8,26.2,8,1
1882/6/9,21.2,8,1
1882/6/10,24.0,8,1
1882/6/11,19.7,8,1
1882/6/12,22.6,8,1
1882/6/13,23.2,8,1
1882/6/14,19.6,8,1
